Order ID,Date,Status,Category,Qty,Amount,ship-state,Total revenue,Cost,Profit Margin,Profit
408-7698765-2294756,2024-01-01,Shipped - Delivered to Buyer,Set,1,1338,MAHARASHTRA,1338,926.45,30.76,411.55
171-2705563-6985105,2024-01-01,Shipped,Set,6,692,NAGALAND,4152,1514.96,63.51,2637.04
407-5600921-2143569,2024-01-01,Cancelled,Set,0,995.54,KARNATAKA,0,0,,0
405-5257740-5301158,2024-01-01,Shipped - Delivered to Buyer,kurta,,399,HARYANA,,263.42,33.98,135.58
408-7029737-8028367,2024-01-01,Shipped,kurta,1,432,MAHARASHTRA,432,243.32,43.68,188.68
402-0589123-6183541,2024-01-01,Shipped,Set,1,582,MAHARASHTRA,582,342.26,41.19,239.74
405-0607769-0716360,2024-01-01,Shipped,kurta,1,517,TAMIL NADU,517,250.39,,266.61
408-7698765-2294756,2024-01-01,Shipped - Delivered to Buyer,Set,1,1338,MAHARASHTRA,1338,926.45,30.76,411.55
171-3305587-5364338,2024-01-01,Shipped,kurta,,348,TELANGANA,,201.89,41.99,146.11
403-9412025-7537140,2024-01-01,Shipped,kurta,1,424,KERALA,424,262.01,38.21,161.99
403-2079921-1244300,2024-01-01,Cancelled,kurta,8,475,MADHYA PRADESH,3800,1502.85,60.45,2297.15
405-1492294-0323520,2024-01-01,Shipped,Western Dress,1,744,UTTARAKHAND,744,441.58,,302.42
408-1830318-0357940,2024-01-01,Shipped,kurta,1,399,HARYANA,399,201.22,49.57,197.78
406-9941718-1734719,2024-01-01,Shipped - Delivered to Buyer,kurta,3,544,KARNATAKA,1632,337.54,37.95,345.4191849
406-7779874-9136347,2024-01-01,Shipped,Set,1,1115,UTTARAKHAND,1115,439.73,60.56,675.27
406-3984186-5973150,2024-01-01,Shipped,Set,1,788,TAMIL NADU,788,386.73,50.92,401.27
407-8248783-4261958,2024-01-01,Shipped,kurta,1,487,CHHATTISGARH,487,325.97,33.07,161.03
407-2882576-2777135,2024-01-01,Shipped - Delivered to Buyer,Set,1,1233,TELANGANA,1233,736.77,,496.23
407-3847456-6656309,2024-01-01,Shipped,Set,,1115,BIHAR,,412.41,,702.59
408-7712483-3825907,2024-01-01,Shipped - Delivered to Buyer,kurta,1,459,UTTAR PRADESH,459,253.09,44.86,205.91
408-9720884-9553122,2024-01-01,Shipped,kurta,3,487,ODISHA,1461,1014.79,30.54,446.21
407-1672316-3245939,2024-01-01,Shipped,kurta,1,319,TAMIL NADU,319,119.32,62.6,199.68
407-9494293-9423561,2024-01-01,Shipped,kurta,4,486,JAMMU & KASHMIR,1944,300.31,38.21,301.8635542
171-4644162-9093116,2024-01-02,Shipped - Delivered to Buyer,kurta,1,399,UTTAR PRADESH,399,276.15,30.79,122.85
402-4646784-8411501,2024-01-02,Shipped - Delivered to Buyer,kurta,1,471,HARYANA,471,196.3,58.32,274.7
404-8494550-5860325,2024-01-02,Shipped,Set,1,666,KARNATAKA,666,366.55,44.96,299.45
407-1515930-8661921,2024-01-02,Shipped,Set,1,1099,WEST BENGAL,1099,766.42,30.26,332.58
406-2403215-8361103,2024-01-02,Shipped - Delivered to Buyer,Set,1,999,KARNATAKA,999,389.6,61,609.4
402-3621298-2630741,2024-01-02,Cancelled,Set,1,654,KARNATAKA,654,264.61,,389.39
403-3496411-3082707,2024-01-02,Shipped,kurta,1,429,TELANGANA,429,216.52,49.53,212.48
406-8089333-7941903,2024-01-02,Shipped,Set,1,888,KARNATAKA,888,400.35,54.92,487.65
406-5648244-8317954,2024-01-02,Shipped,Top,1,487,DELHI,487,236.74,51.39,250.26
402-2720308-2560327,2024-01-02,Shipped,Western Dress,1,665,MAHARASHTRA,665,420.6,36.75,244.4
407-5600921-2143569,2024-01-02,Cancelled,Set,0,995.54,KARNATAKA,0,0,,0
408-3874942-9917143,2024-01-02,Shipped,Set,1,1126,UTTAR PRADESH,1126,724.64,35.64,401.36
406-3078054-1755513,2024-01-02,Shipped,kurta,1,484,UTTAR PRADESH,484,276.81,42.81,207.19
408-2137113-0982751,2024-01-02,Shipped,Set,1,848,ODISHA,848,309.84,63.46,538.16
171-9620288-8918704,2024-01-02,Cancelled,Set,0,0,UTTARAKHAND,0,0,,0
402-7944191-1869101,2024-01-02,Shipped,Top,1,493,KARNATAKA,493,238.96,,254.04
408-2759943-9849959,2024-01-02,Shipped,Set,1,1338,WEST BENGAL,1338,826.94,38.2,511.06
171-8027093-8553945,2024-01-02,Shipped,kurta,1,399,UTTARAKHAND,399,182.59,54.24,216.41
406-3984186-5973150,2024-01-02,Shipped,Set,1,788,TAMIL NADU,788,386.73,50.92,401.27
408-3870331-6287517,2024-01-02,Shipped,kurta,4,399,UTTARAKHAND,1596,158.89,,416.4921369
402-8746990-6412346,2024-01-02,Shipped,kurta,1,442,TAMIL NADU,442,249.07,43.65,192.93
405-0607769-0716360,2024-01-03,Shipped,kurta,1,517,TAMIL NADU,517,250.39,,266.61
402-1365379-0131533,2024-01-03,Cancelled,Set,0,0,TELANGANA,0,0,,0
407-3742007-3242711,2024-01-03,Shipped,kurta,1,517,TELANGANA,517,190.16,63.22,326.84
407-4766116-5412325,2024-01-03,Shipped,kurta,4,399,HIMACHAL PRADESH,1596,135.46,66.05,514.2225615
403-1162895-2484367,2024-01-03,Shipped - Delivered to Buyer,Western Dress,1,859,RAJASTHAN,859,339.13,60.52,519.87
405-1757140-2025918,2024-01-03,Shipped,kurta,,432,MADHYA PRADESH,,168.88,,263.12
408-7955685-3083534,2024-01-03,Shipped,Set,5,657,MAHARASHTRA,3285,240.51,63.39,801.7772826
407-5766340-7411567,2024-01-03,Shipped,kurta,1,399,Gujarat,399,266.51,33.21,132.49
402-5586272-3646748,2024-01-03,Shipped,Set,1,1065,UTTARAKHAND,1065,498.28,53.21,566.72
404-8745561-3169903,2024-01-03,Shipped,kurta,5,379,UTTAR PRADESH,1895,703.47,62.88,1191.53
408-7138000-9728362,2024-01-03,Shipped,Set,1,1033,NAGALAND,1033,451.29,56.31,581.71
402-2155477-9353103,2024-01-03,Shipped,Set,1,1173,ODISHA,1173,819.78,30.11,353.22
408-2114413-6089906,2024-01-03,Shipped,Set,,680,BIHAR,,287.63,57.7,392.37
404-6975277-1927553,2024-01-03,Shipped - Delivered to Buyer,kurta,1,458,WEST BENGAL,458,218.66,52.26,239.34
404-7774085-3780319,2024-01-03,Shipped,kurta,,376,TELANGANA,,230.1,38.8,145.9
403-4337144-0984323,2024-01-03,Cancelled,Top,0,0,JAMMU & KASHMIR,0,0,,0
408-4069830-3819562,2024-01-03,Shipped,Set,1,1281,WEST BENGAL,1281,527.25,58.84,753.75
171-9208368-0157156,2024-01-03,Shipped - Delivered to Buyer,kurta,1,399,UTTAR PRADESH,399,205.34,48.54,193.66
406-9941718-1734719,2024-01-03,Shipped - Delivered to Buyer,kurta,3,544,KARNATAKA,1632,337.54,37.95,345.4191849
171-9198151-1101146,2024-01-04,Shipped - Delivered to Buyer,kurta,1,406,KARNATAKA,406,270.99,33.25,135.01
402-1752649-2274748,2024-01-04,Shipped,kurta,,390,KARNATAKA,,132.21,,257.79
405-5257740-5301158,2024-01-04,Shipped - Delivered to Buyer,Set,4,832,HARYANA,3328,1811.15,45.58,1516.85
171-7623384-8040337,2024-01-04,Shipped,kurta,1,486,MAHARASHTRA,486,325.33,,160.67
403-2256919-4846738,2024-01-04,Shipped - Delivered to Buyer,Western Dress,1,825,KARNATAKA,825,394.92,52.13,430.08
402-1706149-0949104,2024-01-04,Shipped,kurta,1,534,MAHARASHTRA,534,251.03,52.99,282.97
171-4350114-4299568,2024-01-04,Shipped - Delivered to Buyer,Top,,399,MAHARASHTRA,,162.28,59.33,236.72
408-3478480-0881162,2024-01-04,Shipped,Set,1,1126,UTTAR PRADESH,1126,608.29,45.98,517.71
406-0974406-3179521,2024-01-04,Shipped,kurta,6,458,TAMIL NADU,2748,1279.23,,1468.77
406-1590113-9193914,2024-01-04,Shipped,Set,1,654,WEST BENGAL,654,409.37,,244.63
405-0483874-0889137,2024-01-04,Shipped,Set,4,563,UTTAR PRADESH,2252,736.67,67.29,1515.33
408-5990312-3581165,2024-01-04,Shipped,Set,1,824,PUDUCHERRY,824,543.49,34.04,280.51
405-6120626-0941135,2024-01-04,Shipped,Set,4,657,KARNATAKA,2628,210.41,,721.8172568
407-5600921-2143569,2024-01-04,Cancelled,Set,0,995.54,KARNATAKA,0,0,,0
403-9412025-7537140,2024-01-04,Shipped,kurta,1,424,KERALA,424,262.01,38.21,161.99
402-2703790-2816329,2024-01-04,Cancelled,Set,0,1278.57,JHARKHAND,0,0,,0
408-3874942-9917143,2024-01-04,Shipped,Set,1,1126,UTTAR PRADESH,1126,724.64,35.64,401.36
408-8641795-6914711,2024-01-04,Shipped,Top,,563,HARYANA,,379.99,,183.01
408-4547464-4180323,2024-01-05,Shipped - Delivered to Buyer,kurta,5,0,ODISHA,0,0,,0
171-5810429-4493110,2024-01-05,Shipped,Set,1,582,WEST BENGAL,582,199.11,,382.89
404-6578109-5618751,2024-01-05,Shipped - Delivered to Buyer,kurta,1,295,KARNATAKA,295,138.2,,156.8
171-2134173-5385136,2024-01-05,Shipped,kurta,1,782,KARNATAKA,782,491.42,37.16,290.58
408-7138000-9728362,2024-01-05,Shipped,Set,1,1033,NAGALAND,1033,451.29,56.31,581.71
171-1987024-2709164,2024-01-05,Shipped,Set,1,660,ANDHRA PRADESH,660,362.49,45.08,297.51
171-8452330-4756317,2024-01-05,Shipped,Top,1,432,MAHARASHTRA,432,254.59,41.07,177.41
402-2703790-2816329,2024-01-05,Cancelled,Set,0,1278.57,JHARKHAND,0,0,,0
402-2720308-2560327,2024-01-05,Shipped,Western Dress,1,665,MAHARASHTRA,665,420.6,36.75,244.4
408-7165704-5643524,2024-01-05,Shipped,Ethnic Dress,1,699,UTTAR PRADESH,699,258.89,62.96,440.11
402-2820441-9623566,2024-01-05,Shipped,Western Dress,1,721,ODISHA,721,343.65,52.34,377.35
408-1298370-1920302,2024-01-05,Shipped - Delivered to Buyer,Set,3,771,MAHARASHTRA,2313,241.23,68.71,849.5553852
171-6783343-9758701,2024-01-05,Shipped,kurta,1,399,PUNJAB,399,166.57,58.25,232.43
407-2974257-4781134,2024-01-05,Shipped,Set,1,824,MAHARASHTRA,824,533.43,35.26,290.57
402-3621298-2630741,2024-01-05,Cancelled,Set,1,654,KARNATAKA,654,264.61,,389.39
402-5302912-6805151,2024-01-05,Shipped - Delivered to Buyer,Western Dress,,725,TELANGANA,,494.2,31.83,230.8
407-5443024-5233168,2024-01-05,Cancelled,Set,,0,TELANGANA,,0,,0
408-7712483-3825907,2024-01-05,Shipped - Delivered to Buyer,kurta,1,459,UTTAR PRADESH,459,253.09,44.86,205.91
405-9928526-2470747,2024-01-05,Shipped,Set,1,1115,TELANGANA,1115,527.14,52.72,587.86
402-0294212-5431551,2024-01-05,Shipped,kurta,1,399,UTTAR PRADESH,399,254.01,36.34,144.99
404-2262140-4696366,2024-01-05,Shipped,kurta,1,295,MAHARASHTRA,295,170.68,42.14,124.32
